HolderAddress,Balance_2021-04-14_23-1,Balance_2021-04-15_15-56,Balance_2021-04-16_19-36,Balance_2021-04-18_11-17,Balance_2021-04-19_17-11,Balance_2021-04-20_17-0,Balance_2021-04-21_16-57,Balance_2021-04-22_16-35,Balance_2021-04-23_21-26,Balance_2021-04-24_8-20,Balance_2021-04-25_17-34,Balance_2021-04-26_20-7,Balance_2021-04-27_18-51,Balance_2021-04-28_19-57,Balance_2021-04-30_12-57,Balance_2021-05-01_8-43,Balance_2021-05-04_20-1,Balance_2021-05-05_17-51,Balance_2021-05-09_9-11,Balance_2021-05-10_21-52,Balance_2021-05-12_21-14,Balance_2021-07-17_22-4,Balance_2021-07-18_12-12
0x04813e036f1d66bf8d7e0ce279a1986b0bfebb04,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0
0x982302aaa472719f7fe7f9fa0c4880c46d1f4c8f,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0
0x8a8380c364d36f56499a37eb380f82f46b5a6e2c,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf57a61bdc0071fd6e645e8aec776fdf5b9d24478,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
0xdb8738166e0eaaddd2acbd50310298929c667261,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,0.0,0.0
0x4979233d699137c9c17564308381d146ec5fc757,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
0x4bb354750d10ed1bc15e988e4e6d1290e1c1051c,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
0xa4360cd5416ed1b52f4b05c08f0464a12895920f,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x09ac5704de63dfbdaefa241b32e0bdf86b536ebc,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99,1099.99
0x6c105af7c3ceee980794170af2f87bf42b8b2c56,1099.9340032232,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958,1099.9340032231958
0x9b81eedd1e37c4f13d520407b0e944d47fe44b37,1099.86895702733,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,1099.868957027329,0.0002302365,0.0002302365
0xc658f56ae314344b89eccf743504839f941d84cd,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003,1099.003
0xa5a69b5c3754ec68098b439eb77cb8a238c7fb60,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,1097.9,0.0,0.0
0x6a4f199ad1f2f61f96ac371700eed0ca58415a7d,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812,1097.5298812
0x112ebacb8bdcbb809dc29c1ea45bda9140380a4b,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0
0xa82efaee0237bf3f670ca684c3d001cdc16657f0,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56,1093.56
0x3fcfab4ab4a9601d1cbc47e151e324ae5b04535d,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598,1093.287598
0x1a0c18e503146ce47f47ddc836dbd8ca3ef87191,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204,1093.204
0xf447247663c67c14b904879fbf944a77c531521d,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84,1092.84
